(3219, 8113)
(3220, 961)
(3220, 8112)
(4260, 4643)
(4261, 14378)
(4261, 4642)
(4261, 10697)
(5488, 4602)
(5489, 4601)
(5490, 4600)
(5490, 7606)
(5490, 9781)
(14443, 8484)
(14443, 11333)
(17201, 14378)
(17201, 4642)
(17201, 10697)
(25240, 17945)
(25241, 17944)
(25242, 2828)
(25242, 13979)
(25242, 17943)
(25243, 13978)
(31732, 3512)
(31732, 8697)
(31732, 20538)
(31733, 20537)
(34428, 1891)
(34428, 16910)
(38945, 1508)
(38945, 5890)
(38946, 1509)
(38946, 5891)
(38947, 1510)
(38947, 5892)
(38947, 4384)
(38948, 1511)
(38948, 4383)
(40390, 8484)
(40390, 11333)
(44149, 961)
(44149, 8112)
(44150, 960)
(44151, 959)
(51693, 18966)
(51693, 6342)
(51693, 8735)
(51881, 11087)
(51881, 6955)
(51882, 11088)
(52277, 11086)
(52277, 6956)
(52278, 11087)
(52278, 6955)
(52279, 6954)
(52280, 6953)
(52281, 6952)
(55467, 13424)
(55468, 2103)
(55468, 13425)
(55468, 16053)
(55469, 2104)
(55470, 2105)
(55666, 11368)
(55667, 7919)
(55667, 11367)
(55668, 7918)
(61928, 11763)
(61929, 11762)
(61930, 11761)
(62312, 12880)
(62312, 17460)
(65487, 4600)
(65487, 7606)
(65487, 9781)
(65488, 4599)
(65488, 9780)
(70656, 3512)
(70656, 8697)
(70656, 20538)
(70657, 8696)
(73716, 6450)
(73716, 20230)
(73716, 13500)
(75018, 962)
(75019, 961)
(75019, 8112)
(75218, 11510)
(75218, 20167)
(75219, 11511)
(75219, 20168)
(75219, 19724)
(75220, 20169)
(75220, 19723)
(75221, 20170)
(82938, 13651)
(82939, 11489)
(82939, 12172)
(82939, 13650)
(84061, 6090)
(85715, 1509)
(85715, 5891)
(85716, 1510)
(85716, 5892)
(85716, 4384)
(85717, 1511)
(85717, 4383)
(87883, 3841)
(88559, 12504)
(88560, 8251)
(88560, 12503)
(88561, 8252)
(88561, 12502)
(89417, 6449)
(89418, 6450)
(89418, 20230)
(89418, 13500)
(90132, 3674)
(90132, 10879)
(90133, 10878)
(90222, 2570)
(90416, 12173)
(90417, 11489)
(90417, 12172)
(90417, 13650)
(90418, 11490)
(91716, 6867)
(94943, 2102)
(94943, 16054)
(94944, 2103)
(94944, 13425)
(94944, 16053)
(95386, 7096)
(95386, 10451)
(95387, 7095)
(101410, 5329)
(101410, 9374)
(101411, 9375)
(103779, 2778)
(103780, 2779)
(103781, 2780)
(103781, 5510)
(103781, 8924)
(103782, 2781)
(105213, 13980)
(105214, 2828)
(105214, 13979)
(105214, 17943)
(105215, 13978)
(105216, 13977)
(108991, 16055)
(108992, 2102)
(108992, 16054)
(108993, 2103)
(108993, 13425)
(108993, 16053)
(108994, 13426)
(108994, 16052)
(108995, 13427)
(113828, 2780)
(113828, 5510)
(113828, 8924)
(113964, 13651)
(113965, 11489)
(113965, 12172)
(113965, 13650)
(113966, 11490)
(114688, 8649)
(121467, 1892)
(121467, 16911)
(121468, 1891)
(121468, 16910)
(123499, 2241)
(123500, 2240)
(123501, 2239)
(123516, 19154)
(123517, 10657)
(123517, 17587)
(123517, 19153)
(123518, 17588)
(123519, 17589)
(123520, 17590)
(124076, 11511)
(124076, 20168)
(124076, 19724)
(124077, 11512)
(127524, 13870)
(127525, 13869)
(130666, 3512)
(130666, 8697)
(130666, 20538)
(130667, 3513)
(130779, 14010)
(131069, 12880)
(131069, 17460)
(131445, 14378)
(131445, 4642)
(131445, 10697)
(131726, 15980)
(131726, 19338)
(133341, 2779)
(133342, 2780)
(133342, 5510)
(133342, 8924)
(133343, 5511)
(133343, 8925)
(138886, 6786)
(138887, 6787)
(138887, 11226)
(143148, 14635)
(143149, 14634)
(143150, 14633)
(143150, 18786)
(143363, 14012)
(143364, 14011)
